run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast.channelwise_crps,forecast.diagnostics.active_components_1pct,forecast.diagnostics.component_mean_weights,forecast.diagnostics.effective_components,forecast.diagnostics.entropy_max,forecast.diagnostics.entropy_mean,forecast.diagnostics.entropy_min,forecast.diagnostics.mean_pairwise_distance,forecast.diagnostics.normalized_entropy_mean,forecast.diagnostics.std.max,forecast.diagnostics.std.mean,forecast.diagnostics.std.median,forecast.diagnostics.std.min,forecast.diagnostics.std.p05,forecast.diagnostics.std.p95,forecast.energy_score,forecast.interval_coverage_90,forecast.mae,forecast.nll,forecast.rmse,manifest.dataset,manifest.notes,manifest.seed,regime.adjusted_rand_index,regime.confusion,regime.false_switch_rate_per_1000,regime.label_mapping.0
runs\smd_score_gpu\smd-joint-score-channel-max-gpu,smd-joint-score-channel-max-gpu,smd-joint,6,36.333333333333336,28.5,22,0.05591902924565229,0.04718052493984118,0.9473684210526315,0.024192680353726747,13585.130672509815,0.2444656699483418,0.8347138758098038,0.22478572231653876,0.744298624738511,1.0,1.0,1.0,8.688567629950851,3,"[0.29574724872433283, 0.5160634569091903, 0.18818929436647697]",2.7621715156421107,1.0986060632807886,0.8467178986797487,0.6112950544408077,2.392775061499702,0.7707158452653553,1.908220648765564,0.5938954313600167,0.5422422587871552,0.004574534483253956,0.010513953259214759,1.4868182718753813,223.10760778916423,0.8798749321040097,8.800181701679723,213384423.85011962,2189.3037192920483,smd,Selected-machine SMD joint benchmark with channel-max NLL anomaly score,602,-6.004318700376502e-16,[[18895]],0.0,0
runs\smd_score_gpu\smd-joint-score-channel-top3-gpu,smd-joint-score-channel-top3-gpu,smd-joint,6,42.833333333333336,48.0,22,0.05591902924565229,0.04658103622422385,0.9444444444444444,0.023879397145706697,6437.231306889718,0.308976520815068,0.856384488856973,0.23824566693395977,0.7748142555180304,1.0,1.0,1.0,8.688567629950851,3,"[0.29574724872433283, 0.5160634569091903, 0.18818929436647697]",2.7621715156421107,1.0986060632807886,0.8467178986797487,0.6112950544408077,2.392775061499702,0.7707158452653553,1.908220648765564,0.5938954313600167,0.5422422587871552,0.004574534483253956,0.010513953259214759,1.4868182718753813,223.10760778916423,0.8798749321040097,8.800181701679723,213384423.85011962,2189.3037192920483,smd,Selected-machine SMD joint benchmark with channel-top3 mean NLL anomaly score,602,-6.004318700376502e-16,[[18895]],0.0,0
runs\smd_score_gpu\smd-joint-score-mean-gpu,smd-joint-score-mean-gpu,smd-joint,6,44.333333333333336,52.5,22,0.05591902924565229,0.04552865209208476,0.9375,0.02333084439127159,30079.633648952764,0.31071337581619074,0.8712706648993602,0.24221072144855155,0.814264241266148,1.0,1.0,1.0,8.688567629950851,3,"[0.29574724872433283, 0.5160634569091903, 0.18818929436647697]",2.7621715156421107,1.0986060632807886,0.8467178986797487,0.6112950544408077,2.392775061499702,0.7707158452653553,1.908220648765564,0.5938954313600167,0.5422422587871552,0.004574534483253956,0.010513953259214759,1.4868182718753813,223.10760778916423,0.8798749321040097,8.800181701679723,213384423.85011962,2189.3037192920483,smd,Selected-machine SMD joint benchmark with multivariate mean NLL anomaly score,602,-6.004318700376502e-16,[[18895]],0.0,0
runs\smd_score_gpu\smd-mdn-score-channel-max-gpu,smd-mdn-score-channel-max-gpu,smd-mdn,6,42.833333333333336,48.0,22,0.05591902924565229,0.04549904796073406,0.95,0.023307669653750685,20374.132475612263,0.25723180084592423,0.8278612529531546,0.21044331956549334,0.7341147571333315,1.0,1.0,1.0,8.679956793147664,3,"[0.6949661365587237, 0.128599193137025, 0.17643467030425272]",2.276721324062792,1.098098874258115,0.7526630515031185,0.5571765071548768,2.400429655354627,0.6851034339107941,2.377650022506714,0.545958117391844,0.46455585956573486,0.004643008578568697,0.020098600164055826,1.3306558668613429,223.11297888794658,0.8678444589908219,8.778850002656652,234481130.26584756,2189.3041071379885,smd,Selected-machine SMD MDN benchmark with channel-max NLL anomaly score,603,1.0,[[18895]],0.0,0
runs\smd_score_gpu\smd-mdn-score-channel-top3-gpu,smd-mdn-score-channel-top3-gpu,smd-mdn,6,42.833333333333336,48.0,22,0.05591902924565229,0.045009360768528045,0.95,0.023050732346453662,9858.611134827968,0.29423012193242737,0.8470743572792763,0.22019785025526942,0.7650166604747434,1.0,1.0,1.0,8.679956793147664,3,"[0.6949661365587237, 0.128599193137025, 0.17643467030425272]",2.276721324062792,1.098098874258115,0.7526630515031185,0.5571765071548768,2.400429655354627,0.6851034339107941,2.377650022506714,0.545958117391844,0.46455585956573486,0.004643008578568697,0.020098600164055826,1.3306558668613429,223.11297888794658,0.8678444589908219,8.778850002656652,234481130.26584756,2189.3041071379885,smd,Selected-machine SMD MDN benchmark with channel-top3 mean NLL anomaly score,603,1.0,[[18895]],0.0,0
runs\smd_score_gpu\smd-mdn-score-mean-gpu,smd-mdn-score-mean-gpu,smd-mdn,6,44.333333333333336,52.5,22,0.05591902924565229,0.04396020321920036,0.9473684210526315,0.022502179592018556,56912.81508168089,0.30138336745385175,0.8577154114833816,0.20114989617949738,0.7987424774325782,1.0,1.0,1.0,8.679956793147664,3,"[0.6949661365587237, 0.128599193137025, 0.17643467030425272]",2.276721324062792,1.098098874258115,0.7526630515031185,0.5571765071548768,2.400429655354627,0.6851034339107941,2.377650022506714,0.545958117391844,0.46455585956573486,0.004643008578568697,0.020098600164055826,1.3306558668613429,223.11297888794658,0.8678444589908219,8.778850002656652,234481130.26584756,2189.3041071379885,smd,Selected-machine SMD MDN benchmark with multivariate mean NLL anomaly score,603,1.0,[[18895]],0.0,0
