run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.persistence_count,anomaly.persistence_window,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold.0,anomaly.threshold.1,anomaly.threshold.2,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast.channelwise_crps,forecast.diagnostics.active_components_1pct,forecast.diagnostics.component_mean_weights,forecast.diagnostics.effective_components,forecast.diagnostics.entropy_max,forecast.diagnostics.entropy_mean,forecast.diagnostics.entropy_min,forecast.diagnostics.mean_pairwise_distance,forecast.diagnostics.normalized_entropy_mean,forecast.diagnostics.std.max,forecast.diagnostics.std.mean,forecast.diagnostics.std.median,forecast.diagnostics.std.min,forecast.diagnostics.std.p05,forecast.diagnostics.std.p95,forecast.energy_score,forecast.interval_coverage_90,forecast.mae,forecast.nll,forecast.rmse,manifest.dataset,manifest.notes,manifest.seed,regime.adjusted_rand_index,regime.confusion,regime.false_switch_rate_per_1000,regime.label_mapping.2
runs\smd_per_machine_threshold_gpu\smd-joint-machine-threshold-global-q99-gpu,smd-joint-machine-threshold-global-q99-gpu,smd-joint,11,7.2727272727272725,3.0,17,2.124923111334787,2,5,0.2400177382282493,0.38114789897326434,0.1751600606990046,69.84840343670169,,,,0.26923744736013655,0.8224723051614147,0.22017550609022724,0.740030821085343,validation_quantile_99,0.0,0.0,0.0,8.68885767421882,3,"[0.6696651524346171, 0.22046996292169346, 0.10986488464368753]",2.3268301511025515,1.098551191926095,0.6804023116585567,0.4886854256980293,2.14065949882618,0.6193288739591968,2.00644850730896,0.5944324941551319,0.5600418448448181,0.00445537781342864,0.021562147233635195,1.338826394081115,223.07995725635504,0.8746730546928316,8.797881064749221,249566942.13022456,2189.304140988382,smd,Selected-machine calibrated joint reference with global q99 threshold and 2-of-5 persistence,1402,0.0,[[18895]],0.0,0
runs\smd_per_machine_threshold_gpu\smd-joint-machine-threshold-q98-gpu,smd-joint-machine-threshold-q98-gpu,smd-joint,15,4.8,1.0,13,2.795951462282615,2,5,0.27492058091675164,0.22432987647575425,0.35497406391092806,,11.235125555654285,61.42790862712375,27.023413732172244,0.26923744736013655,0.8224723051614147,0.22017550609022724,0.740030821085343,per_machine_validation_quantile_98,0.0,0.0,0.0,8.68885767421882,3,"[0.6696651524346171, 0.22046996292169346, 0.10986488464368753]",2.3268301511025515,1.098551191926095,0.6804023116585567,0.4886854256980293,2.14065949882618,0.6193288739591968,2.00644850730896,0.5944324941551319,0.5600418448448181,0.00445537781342864,0.021562147233635195,1.338826394081115,223.07995725635504,0.8746730546928316,8.797881064749221,249566942.13022456,2189.304140988382,smd,Selected-machine calibrated joint with per-machine q98 thresholds and 2-of-5 persistence,1402,0.0,[[18895]],0.0,0
runs\smd_per_machine_threshold_gpu\smd-joint-machine-threshold-q985-gpu,smd-joint-machine-threshold-q985-gpu,smd-joint,12,5.25,0.0,16,2.124923111334787,2,5,0.2252613770632134,0.1810462449300907,0.29805155868015226,,12.249814649634995,104.44565995026669,50.40365287388534,0.26923744736013655,0.8224723051614147,0.22017550609022724,0.740030821085343,per_machine_validation_quantile_985,0.0,0.0,0.0,8.68885767421882,3,"[0.6696651524346171, 0.22046996292169346, 0.10986488464368753]",2.3268301511025515,1.098551191926095,0.6804023116585567,0.4886854256980293,2.14065949882618,0.6193288739591968,2.00644850730896,0.5944324941551319,0.5600418448448181,0.00445537781342864,0.021562147233635195,1.338826394081115,223.07995725635504,0.8746730546928316,8.797881064749221,249566942.13022456,2189.304140988382,smd,Selected-machine calibrated joint with per-machine q98.5 thresholds and 2-of-5 persistence,1402,0.0,[[18895]],0.0,0
runs\smd_per_machine_threshold_gpu\smd-joint-machine-threshold-q99-gpu,smd-joint-machine-threshold-q99-gpu,smd-joint,10,2.9,0.0,18,1.8453279651065257,2,5,0.2283385277146097,0.20344730224259786,0.2601695685847228,,15.667808501059211,112.15588338612336,225.96284796874312,0.26923744736013655,0.8224723051614147,0.22017550609022724,0.740030821085343,per_machine_validation_quantile_99,0.0,0.0,0.0,8.68885767421882,3,"[0.6696651524346171, 0.22046996292169346, 0.10986488464368753]",2.3268301511025515,1.098551191926095,0.6804023116585567,0.4886854256980293,2.14065949882618,0.6193288739591968,2.00644850730896,0.5944324941551319,0.5600418448448181,0.00445537781342864,0.021562147233635195,1.338826394081115,223.07995725635504,0.8746730546928316,8.797881064749221,249566942.13022456,2189.304140988382,smd,Selected-machine calibrated joint with per-machine q99 thresholds and 2-of-5 persistence,1402,0.0,[[18895]],0.0,0
