run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast.channelwise_crps,forecast.diagnostics.active_components_1pct,forecast.diagnostics.component_mean_weights,forecast.diagnostics.effective_components,forecast.diagnostics.entropy_max,forecast.diagnostics.entropy_mean,forecast.diagnostics.entropy_min,forecast.diagnostics.mean_pairwise_distance,forecast.diagnostics.normalized_entropy_mean,forecast.diagnostics.std.max,forecast.diagnostics.std.mean,forecast.diagnostics.std.median,forecast.diagnostics.std.min,forecast.diagnostics.std.p05,forecast.diagnostics.std.p95,forecast.energy_score,forecast.interval_coverage_90,forecast.mae,forecast.nll,forecast.rmse,manifest.dataset,manifest.notes,manifest.seed,regime.adjusted_rand_index,regime.confusion,regime.false_switch_rate_per_1000,regime.label_mapping.0,regime.label_mapping.1,regime.label_mapping.2
runs\smd_joint_tune_gpu\smd-joint-tune-base-gpu,smd-joint-tune-base-gpu,smd-joint,18,3.2222222222222223,0.0,10,9.897668176480456,0.2607937554139008,0.21716537169745764,0.32635908626598825,54.00987959597269,0.24705995667161681,0.8284159398850542,0.20599250551626588,0.7227523200080199,validation_quantile_99,0.0,0.0,0.0,8.685035764149323,3,"[0.14580839504619383, 0.23842058337215233, 0.6157710215816518]",2.5121821180218804,1.0984751634664167,0.7176190318542224,0.3301764193349579,3.138420002158516,0.6532049925676873,2.3316354751586914,0.589803490156931,0.4959605932235718,0.004167124163359404,0.02150467270985246,1.4684780001640318,223.12734827159593,0.8758081363769307,8.788918656117614,278072398.9008131,2189.304094831201,smd,Selected-machine calibrated joint baseline for tuning,802,0.0,[[18895]],0.0,0,,
runs\smd_joint_tune_gpu\smd-joint-tune-four-regimes-gpu,smd-joint-tune-four-regimes-gpu,smd-joint,15,2.533333333333333,0.0,13,11.016048761393503,0.23479523140150946,0.21048774477603835,0.2654498346538103,81.33562665250948,0.22284901618986763,0.8165788704753936,0.20610739027831954,0.7110271233796217,validation_quantile_99,0.0,0.0,0.0,8.680751859571382,3,"[0.2823271985858491, 0.26494470907895834, 0.45272809233519085]",2.9087839680235934,1.0985733110463667,0.7586236851910675,0.3056077650312042,2.4803393617368337,0.6905290365091186,2.122053384780884,0.5982461706176615,0.5771998465061188,0.00479476572945714,0.009791944874450566,1.3663044154644006,223.13879264243923,0.8816019275497555,8.78550364785125,125340834.39712657,2189.3036518099807,smd,Selected-machine calibrated joint run with four regimes,802,0.0,[[18895]],0.0,,0,
runs\smd_joint_tune_gpu\smd-joint-tune-hidden128-gpu,smd-joint-tune-hidden128-gpu,smd-joint,14,2.7142857142857144,0.0,14,9.841749147234804,0.21447353335069674,0.2062242836923045,0.2234102446403857,73.90818635672184,0.24295372841602075,0.8249130713272637,0.1893054556248132,0.7287555180145862,validation_quantile_99,0.0,0.0,0.0,8.678653691389417,3,"[0.2816716762953448, 0.4852175219502694, 0.23311080175438453]",2.8497641770310107,1.0969423202074102,0.7031633633376497,0.14061344416962898,2.1313102775561674,0.6400468760367881,2.915469169616699,0.5831533288191623,0.5277098119258881,0.00568046048283577,0.011662609362974764,1.3832006037235258,223.07334072988132,0.8774418183590758,8.787364163510299,105111855.45941007,2189.3039950870175,smd,Selected-machine calibrated joint run with hidden size 128,802,1.273053213667881e-16,[[18895]],0.0,,,0
runs\smd_joint_tune_gpu\smd-joint-tune-high-smooth-gpu,smd-joint-tune-high-smooth-gpu,smd-joint,18,3.2222222222222223,0.0,10,9.897668176480456,0.2607937554139008,0.21716537169745764,0.32635908626598825,54.00987959597269,0.24705995667161681,0.8284159398850542,0.20599250551626588,0.7227523200080199,validation_quantile_99,0.0,0.0,0.0,8.685035764149323,3,"[0.14580839504619383, 0.23842058337215233, 0.6157710215816518]",2.5121821180218804,1.0984751634664167,0.7176190318542224,0.3301764193349579,3.138420002158516,0.6532049925676873,2.3316354751586914,0.589803490156931,0.4959605932235718,0.004167124163359404,0.02150467270985246,1.4684780001640318,223.12734827159593,0.8758081363769307,8.788918656117614,278072398.9008131,2189.304094831201,smd,Selected-machine calibrated joint run with stronger smoothness penalty,802,0.0,[[18895]],0.0,0,,
runs\smd_joint_tune_gpu\smd-joint-tune-no-smooth-gpu,smd-joint-tune-no-smooth-gpu,smd-joint,18,3.2222222222222223,0.0,10,9.897668176480456,0.2607937554139008,0.21716537169745764,0.32635908626598825,54.00987959597269,0.24705995667161681,0.8284159398850542,0.20599250551626588,0.7227523200080199,validation_quantile_99,0.0,0.0,0.0,8.685035764149323,3,"[0.14580839504619383, 0.23842058337215233, 0.6157710215816518]",2.5121821180218804,1.0984751634664167,0.7176190318542224,0.3301764193349579,3.138420002158516,0.6532049925676873,2.3316354751586914,0.589803490156931,0.4959605932235718,0.004167124163359404,0.02150467270985246,1.4684780001640318,223.12734827159593,0.8758081363769307,8.788918656117614,278072398.9008131,2189.304094831201,smd,Selected-machine calibrated joint run with no smoothness penalty,802,0.0,[[18895]],0.0,0,,
