run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.persistence_count,anomaly.persistence_window,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast.channelwise_crps,forecast.diagnostics.active_components_1pct,forecast.diagnostics.component_mean_weights,forecast.diagnostics.effective_components,forecast.diagnostics.entropy_max,forecast.diagnostics.entropy_mean,forecast.diagnostics.entropy_min,forecast.diagnostics.mean_pairwise_distance,forecast.diagnostics.normalized_entropy_mean,forecast.diagnostics.std.max,forecast.diagnostics.std.mean,forecast.diagnostics.std.median,forecast.diagnostics.std.min,forecast.diagnostics.std.p05,forecast.diagnostics.std.p95,forecast.energy_score,forecast.interval_coverage_90,forecast.mae,forecast.nll,forecast.rmse,manifest.dataset,manifest.notes,manifest.seed,regime.adjusted_rand_index,regime.confusion,regime.false_switch_rate_per_1000,regime.label_mapping.0,regime.label_mapping.1,regime.label_mapping.2
runs\smd_final_robustness_gpu\smd-joint-final-q993-w5-c2-seed1402-gpu,smd-joint-final-q993-w5-c2-seed1402-gpu,smd-joint,133,4.466165413533835,1.0,177,2.36623384305954,2,5,0.2217244929180151,0.1687681637891369,0.32311063585707733,18.581335812238837,0.10544241141416513,0.7210245013265905,0.177166562279795,0.7001205827148679,validation_quantile_993,0.0,0.0,0.0,11.190269192580718,3,"[0.6936016663036784, 0.24662889509314, 0.059769438603178106]",2.154145132459625,1.0984813535887925,0.7086909095620937,0.4247558688690101,3.5984025394730343,0.6450782654372701,4.035238742828369,0.7614076418232315,0.5934615731239319,0.0015529243974015117,0.0048820991069078445,2.548700976371764,387.4673452812863,0.8884325147736928,11.292080188825794,7558887630.310018,2220.0527872531648,smd,Final full-SMD joint robustness run with q99.3 threshold and 2-of-5 persistence,1402,0.0,[[176416]],0.0,,,0
runs\smd_final_robustness_gpu\smd-joint-final-q993-w5-c2-seed2402-gpu,smd-joint-final-q993-w5-c2-seed2402-gpu,smd-joint,134,6.074626865671642,1.0,176,2.259753320121861,2,5,0.24928374499194833,0.20642899711694257,0.3145934871455946,24.111985740524336,0.10115505519633701,0.7217369340167018,0.1727763248759228,0.7049399764881328,validation_quantile_993,0.0,0.0,0.0,11.176510482124872,3,"[0.06564548355052614, 0.210676944617687, 0.7236775718317855]",2.097913184504133,1.0983644112145492,0.6466070369166014,0.30360183206696434,2.7167692581890632,0.588567089214438,3.7760438919067383,0.6566552484678927,0.5403776168823242,0.001483638770878315,0.006819063983857632,1.9268239378929133,387.18094529266364,0.8899597064832405,11.275583537132428,606092582.6574708,2220.0528482081895,smd,Final full-SMD joint robustness run with q99.3 threshold and 2-of-5 persistence,2402,0.0,[[176416]],0.0,,,0
runs\smd_final_robustness_gpu\smd-joint-final-q993-w5-c2-seed402-gpu,smd-joint-final-q993-w5-c2-seed402-gpu,smd-joint,134,5.8059701492537314,1.0,176,1.863409151409388,2,5,0.2627654423635136,0.22269924510033082,0.3204111542013392,14.990809096561325,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_993,0.0,0.0,0.0,11.203949617109567,3,"[0.16432971957785636, 0.06632311152439584, 0.7693471688977436]",1.970804030200813,1.0984707128971611,0.588115192502773,0.3221033439248999,3.528507692423574,0.5353255179912177,4.1761627197265625,0.8223938488374382,0.59837806224823,0.0016301738796755672,0.00565213558729738,2.630556476116179,387.64565080563517,0.8810768446829026,11.302566284086758,587478987.5283743,2220.053084019002,smd,Final full-SMD joint robustness run with q99.3 threshold and 2-of-5 persistence,402,0.0,[[176416]],0.0,,0,
runs\smd_final_robustness_gpu\smd-mdn-final-q996-w5-c2-seed1502-gpu,smd-mdn-final-q996-w5-c2-seed1502-gpu,smd-mdn,122,6.327868852459017,1.0,188,1.4197403058357243,2,5,0.26572297558283225,0.2447456227689711,0.2906334090891928,26.32303950408076,0.10334081629219902,0.7137078938492764,0.1843937429498992,0.6982614217990534,validation_quantile_996,0.0,0.0,0.0,11.219425539865574,3,"[0.606532061274113, 0.17232585169620357, 0.221142087029682]",2.5599026522460493,1.098600048424447,0.6277319609097003,0.3849900926290981,3.352995980909314,0.5713862546273938,4.511109352111816,0.8894440451482122,0.654936671257019,0.0018575312569737434,0.005788815510459244,2.738101136684416,387.83115037260234,0.8785540994014148,11.32284115572305,153904535.40949994,2220.0534270476605,smd,Final full-SMD MDN-LSTM robustness run with q99.6 threshold and 2-of-5 persistence,1502,1.0,[[176416]],0.0,0,,
runs\smd_final_robustness_gpu\smd-mdn-final-q996-w5-c2-seed2502-gpu,smd-mdn-final-q996-w5-c2-seed2502-gpu,smd-mdn,121,6.181818181818182,1.0,189,1.5676299210269455,2,5,0.2530552910895751,0.22897102001043979,0.28280173521249047,24.639750117705457,0.10435158176463917,0.7225179934271203,0.1715122599217828,0.7186148250523806,validation_quantile_996,0.0,0.0,0.0,11.186296039071838,3,"[0.21194690661185797, 0.09546500176129454, 0.6925880916268403]",2.2422207318502685,1.0986072964654565,0.6908626787170101,0.44418212907424415,3.9419430027377764,0.6288503103807166,4.446442127227783,0.8455364327416504,0.5902799069881439,0.0018990881508216262,0.0060738576110452415,2.8567578077316274,387.3139592619651,0.8783563013737864,11.292127175589666,3150888662.99632,2220.0531446012337,smd,Final full-SMD MDN-LSTM robustness run with q99.6 threshold and 2-of-5 persistence,2502,1.0,[[176416]],0.0,0,,
runs\smd_final_robustness_gpu\smd-mdn-final-q996-w5-c2-seed502-gpu,smd-mdn-final-q996-w5-c2-seed502-gpu,smd-mdn,124,5.983870967741935,1.0,186,1.5321364133810524,2,5,0.26418463443000745,0.24225801043628248,0.29047538327697964,25.164812730454145,0.10628540380589621,0.7254089807956133,0.17927841418899468,0.7242450910167311,validation_quantile_996,0.0,0.0,0.0,11.209889172689548,3,"[0.2383375552566429, 0.6967262083326591, 0.0649362364106901]",2.162189500542732,1.0986086582040235,0.6959233494246236,0.44856203351093393,3.2260826533483713,0.6334567313718278,4.69010066986084,0.824631229229616,0.6360137760639191,0.0017279754392802715,0.006073336000554264,2.6699607372283936,387.6879335620598,0.8857334517933688,11.313483803779015,12401150086.773933,2220.0531901234017,smd,Final full-SMD MDN-LSTM robustness run with q99.6 threshold and 2-of-5 persistence,502,1.0,[[176416]],0.0,0,,
