run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.persistence_count,anomaly.persistence_window,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast,manifest.dataset,manifest.notes,manifest.seed,regime
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-99-w5-c2,smd-joint-full-fine-q-validation-quantile-99-w5-c2,smd-joint,147,6.442176870748299,1.0,163,2.5614481351119522,2,5,0.24085119601420474,0.18219665965157086,0.3552009809985468,12.494368279676921,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_99,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_99, 2-of-5 persistence",402,
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-991-w5-c2,smd-joint-full-fine-q-validation-quantile-991-w5-c2,smd-joint,144,5.944444444444445,1.0,166,2.3189091661983494,2,5,0.25488811810619766,0.20088088735307336,0.3486135807212258,13.113037168975255,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_991,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_991, 2-of-5 persistence",402,
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-992-w5-c2,smd-joint-full-fine-q-validation-quantile-992-w5-c2,smd-joint,138,5.869565217391305,1.0,172,2.0408766896388535,2,5,0.2609027474583649,0.21468471835230135,0.33248016629312094,14.114766592872973,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_992,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_992, 2-of-5 persistence",402,
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-993-w5-c2,smd-joint-full-fine-q-validation-quantile-993-w5-c2,smd-joint,134,5.8059701492537314,1.0,176,1.863409151409388,2,5,0.2627654423635136,0.22269924510033082,0.3204111542013392,14.990809096561325,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_993,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_993, 2-of-5 persistence",402,
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-994-w5-c2,smd-joint-full-fine-q-validation-quantile-994-w5-c2,smd-joint,127,5.377952755905512,1.0,183,1.8870714898399834,2,5,0.25275429808513866,0.21548145429236723,0.30561858698828526,17.319723330845047,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_994,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_994, 2-of-5 persistence",402,
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-995-w5-c2,smd-joint-full-fine-q-validation-quantile-995-w5-c2,smd-joint,122,6.5,1.0,188,1.946227335916472,2,5,0.2485190966428478,0.21507260759455146,0.2942839420884694,20.427505345845027,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_995,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_995, 2-of-5 persistence",402,
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-996-w5-c2,smd-joint-full-fine-q-validation-quantile-996-w5-c2,smd-joint,119,6.823529411764706,1.0,191,1.7983377207252507,2,5,0.24945120558332523,0.22366670614589262,0.2819552622997857,24.65794828052124,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_996,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_996, 2-of-5 persistence",402,
runs\smd_joint_full_fine_quantile_rescore_gpu\smd-joint-full-fine-q-validation-quantile-997-w5-c2,smd-joint-full-fine-q-validation-quantile-997-w5-c2,smd-joint,115,7.71304347826087,1.0,195,1.863409151409388,2,5,0.22945979059954555,0.2044108624825362,0.2615051731429707,29.748378797120107,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_997,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_997, 2-of-5 persistence",402,
