run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast.channelwise_crps,forecast.diagnostics.active_components_1pct,forecast.diagnostics.component_mean_weights,forecast.diagnostics.effective_components,forecast.diagnostics.entropy_max,forecast.diagnostics.entropy_mean,forecast.diagnostics.entropy_min,forecast.diagnostics.mean_pairwise_distance,forecast.diagnostics.normalized_entropy_mean,forecast.diagnostics.std.max,forecast.diagnostics.std.mean,forecast.diagnostics.std.median,forecast.diagnostics.std.min,forecast.diagnostics.std.p05,forecast.diagnostics.std.p95,forecast.energy_score,forecast.interval_coverage_90,forecast.mae,forecast.nll,forecast.rmse,manifest.dataset,manifest.notes,manifest.seed,regime.adjusted_rand_index,regime.confusion,regime.false_switch_rate_per_1000,regime.label_mapping.0,regime.label_mapping.1,regime.label_mapping.2,regime.label_mapping.3
runs\smd_joint_pseudo_tune_gpu\smd-joint-pseudo-four-regimes-w03-gpu,smd-joint-pseudo-four-regimes-w03-gpu,smd-joint,17,2.2941176470588234,0.0,11,12.749538668008723,0.2291387871808719,0.194941164185213,0.2778872581906869,75.13803817368166,0.27775987735291896,0.831549173713459,0.21662741647352804,0.7407998864405911,validation_quantile_99,0.0,0.0,0.0,8.67269407405384,3,"[0.7346446348149043, 0.21836474915332144, 0.046990616031768705]",2.0187746392405264,1.0972256840461816,0.5422679531062271,0.25873939942088,2.508220120833762,0.4935935622599302,2.0495688915252686,0.6054244970020668,0.5318679809570312,0.004535268060863018,0.025230150390416387,1.4082285881042478,222.95939229336219,0.8651272266402975,8.778037135296836,143000527.8353853,2189.303620322961,smd,Selected-machine calibrated joint run with four pseudo-regimes and medium supervision,1102,0.19262654415236355,"[[18675, 0, 8, 10], [47, 17, 2, 0], [65, 5, 0, 0], [66, 0, 0, 0]]",1.2769353551476457,0,3,2,1
runs\smd_joint_pseudo_tune_gpu\smd-joint-pseudo-reference-gpu,smd-joint-pseudo-reference-gpu,smd-joint,16,3.75,0.0,12,9.282558854778282,0.20854176053698167,0.26611966305762796,0.17144726729224105,85.69156440929655,0.20969218350122049,0.8190866897459752,0.19107302429122142,0.7353249758789779,validation_quantile_99,0.0,0.0,0.0,8.682354691004702,3,"[0.2778254149728452, 0.4677734555714769, 0.25440112945567817]",2.884825256796525,1.0986121221701284,0.8130086737015609,0.4493686078317602,2.3570736805208403,0.7400323863910195,2.3011281490325928,0.6017793419653195,0.5536352396011353,0.004619759041815996,0.009482091991230845,1.507459264993667,223.1194358024219,0.8714432946616343,8.783814448776331,122055536.9125668,2189.3040738767995,smd,Selected-machine calibrated joint reference without pseudo-regime supervision,1102,0.0,[[18895]],0.0,,,0,
runs\smd_joint_pseudo_tune_gpu\smd-joint-pseudo-w01-gpu,smd-joint-pseudo-w01-gpu,smd-joint,16,3.75,0.0,12,8.77928759156741,0.2114230743868134,0.2765887293635827,0.17110896650429996,86.60536229185027,0.2125480103595219,0.8204675085022343,0.1950326443664579,0.7368365113033312,validation_quantile_99,0.0,0.0,0.0,8.682720657632874,3,"[0.2777756128179273, 0.4626609556884331, 0.25956343149363964]",2.8936032469054425,1.0983968047060724,0.811514550644186,0.43948253038830976,2.3653778278541995,0.7386723769747892,2.298361301422119,0.6034064216887683,0.5559104979038239,0.004798918031156063,0.009266256401315332,1.5055876255035394,223.12135798800935,0.8715951031322684,8.7842720615541,119591281.94184409,2189.3040665338704,smd,Selected-machine calibrated joint run with weak pseudo-regime supervision,1102,0.005880005646454826,"[[8498, 6698, 3519], [3, 41, 22], [0, 41, 73]]",61.260210035005834,1,2,0,
runs\smd_joint_pseudo_tune_gpu\smd-joint-pseudo-w03-gpu,smd-joint-pseudo-w03-gpu,smd-joint,17,3.5294117647058822,0.0,11,9.22663982553263,0.23592943678413106,0.2705249494012403,0.20917901908673642,86.11180134436536,0.21396000200726895,0.8216798794712844,0.1929133510383842,0.7384627735670749,validation_quantile_99,0.0,0.0,0.0,8.682842615254724,3,"[0.2841062443391341, 0.4642378988706026, 0.25165585679026203]",2.8891599624937006,1.0980042554492888,0.8180310506661482,0.4502932325733814,2.3696599735577286,0.7446039509150939,2.264106035232544,0.5991844868336593,0.5504581332206726,0.004662513732910156,0.009039527410641313,1.4891966879367815,223.12408555757386,0.8705366220526176,8.784851128444798,101168614.50753519,2189.304101514021,smd,Selected-machine calibrated joint run with medium pseudo-regime supervision,1102,0.15718241540325392,"[[18484, 30, 201], [48, 3, 15], [94, 1, 19]]",5.463031717407446,0,2,1,
runs\smd_joint_pseudo_tune_gpu\smd-joint-pseudo-w10-gpu,smd-joint-pseudo-w10-gpu,smd-joint,17,3.5294117647058822,0.0,11,9.22663982553263,0.23614046900279925,0.2610495427679268,0.21557091795154554,85.01980093358772,0.2126259036501483,0.8240372920248633,0.1953705506102685,0.7438295477809506,validation_quantile_99,0.0,0.0,0.0,8.683985216334168,3,"[0.2831898299714739, 0.4570155417876157, 0.25979462824091093]",2.901742073437288,1.0984323068645971,0.8229320766211212,0.44503623173786155,2.3743750792896714,0.7490650569900268,2.1934425830841064,0.6007474673276809,0.5457149744033813,0.004109321162104607,0.008634091122075915,1.5026333928108209,223.13423175051253,0.8714544365677358,8.786013420620428,114926396.1702885,2189.304004452062,smd,Selected-machine calibrated joint run with strong pseudo-regime supervision,1102,0.3364237202733069,"[[18710, 2, 3], [48, 3, 15], [94, 1, 19]]",1.0607828577490188,0,2,1,
