run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.persistence_count,anomaly.persistence_window,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast.channelwise_crps,forecast.diagnostics.active_components_1pct,forecast.diagnostics.component_mean_weights,forecast.diagnostics.effective_components,forecast.diagnostics.entropy_max,forecast.diagnostics.entropy_mean,forecast.diagnostics.entropy_min,forecast.diagnostics.mean_pairwise_distance,forecast.diagnostics.normalized_entropy_mean,forecast.diagnostics.std.max,forecast.diagnostics.std.mean,forecast.diagnostics.std.median,forecast.diagnostics.std.min,forecast.diagnostics.std.p05,forecast.diagnostics.std.p95,forecast.energy_score,forecast.interval_coverage_90,forecast.mae,forecast.nll,forecast.rmse,manifest.dataset,manifest.notes,manifest.seed,regime.adjusted_rand_index,regime.confusion,regime.false_switch_rate_per_1000,regime.label_mapping.0
runs\smd_persistence_gpu\smd-joint-persist-none-gpu,smd-joint-persist-none-gpu,smd-joint,17,3.3529411764705883,0.0,11,10.512777498182631,1,1,0.24787748604655688,0.22528385759919436,0.2755080819743309,76.66898981182511,0.21173290885486104,0.8166971734809418,0.21601896854963737,0.7232588320470328,validation_quantile_99,0.0,0.0,0.0,8.672509983792017,3,"[0.6362754904102124, 0.13831329284995397, 0.2254112167398341]",2.452518346810718,1.0985863931252062,0.6528234230027637,0.3989063489044535,2.6327754190327726,0.5942254876779203,2.376302719116211,0.6036336488442308,0.5298309028148651,0.003950183745473623,0.016574200242757797,1.4023422241210937,222.95068688950752,0.8782523920279662,8.776119024321051,148556017.60601756,2189.3039122701575,smd,Selected-machine calibrated joint reference without persistence filtering,1202,0.0,[[18895]],0.0,0
runs\smd_persistence_gpu\smd-joint-persist-w3-c2-gpu,smd-joint-persist-w3-c2-gpu,smd-joint,11,15.272727272727273,12.0,17,2.069004082089135,2,3,0.20811528478377525,0.33867341072871976,0.1502096679650899,76.66898981182511,0.21173290885486104,0.8166971734809418,0.21601896854963737,0.7232588320470328,validation_quantile_99,0.0,0.0,0.0,8.672509983792017,3,"[0.6362754904102124, 0.13831329284995397, 0.2254112167398341]",2.452518346810718,1.0985863931252062,0.6528234230027637,0.3989063489044535,2.6327754190327726,0.5942254876779203,2.376302719116211,0.6036336488442308,0.5298309028148651,0.003950183745473623,0.016574200242757797,1.4023422241210937,222.95068688950752,0.8782523920279662,8.776119024321051,148556017.60601756,2189.3039122701575,smd,Selected-machine calibrated joint with 2-of-3 persistence filtering,1202,0.0,[[18895]],0.0,0
runs\smd_persistence_gpu\smd-joint-persist-w5-c2-gpu,smd-joint-persist-w5-c2-gpu,smd-joint,12,9.583333333333334,5.5,16,1.7334899066152212,2,5,0.29505138084797317,0.4235135162013922,0.22638362292071654,76.66898981182511,0.21173290885486104,0.8166971734809418,0.21601896854963737,0.7232588320470328,validation_quantile_99,0.0,0.0,0.0,8.672509983792017,3,"[0.6362754904102124, 0.13831329284995397, 0.2254112167398341]",2.452518346810718,1.0985863931252062,0.6528234230027637,0.3989063489044535,2.6327754190327726,0.5942254876779203,2.376302719116211,0.6036336488442308,0.5298309028148651,0.003950183745473623,0.016574200242757797,1.4023422241210937,222.95068688950752,0.8782523920279662,8.776119024321051,148556017.60601756,2189.3039122701575,smd,Selected-machine calibrated joint with 2-of-5 persistence filtering,1202,0.0,[[18895]],0.0,0
runs\smd_persistence_gpu\smd-joint-persist-w5-c3-gpu,smd-joint-persist-w5-c3-gpu,smd-joint,9,20.0,13.0,19,1.3979757311413075,3,5,0.19368376910584784,0.33247122327818707,0.13664317014196817,76.66898981182511,0.21173290885486104,0.8166971734809418,0.21601896854963737,0.7232588320470328,validation_quantile_99,0.0,0.0,0.0,8.672509983792017,3,"[0.6362754904102124, 0.13831329284995397, 0.2254112167398341]",2.452518346810718,1.0985863931252062,0.6528234230027637,0.3989063489044535,2.6327754190327726,0.5942254876779203,2.376302719116211,0.6036336488442308,0.5298309028148651,0.003950183745473623,0.016574200242757797,1.4023422241210937,222.95068688950752,0.8782523920279662,8.776119024321051,148556017.60601756,2189.3039122701575,smd,Selected-machine calibrated joint with 3-of-5 persistence filtering,1202,0.0,[[18895]],0.0,0
runs\smd_persistence_gpu\smd-mdn-persist-none-gpu,smd-mdn-persist-none-gpu,smd-mdn,15,2.533333333333333,0.0,13,9.50623497176089,1,1,0.2320104835053687,0.2549324957059457,0.21287044084908405,92.26705062695535,0.2148782791047616,0.8130075397859473,0.19451037218920333,0.71976605296835,validation_quantile_99,0.0,0.0,0.0,8.6744467689217,3,"[0.09534589061426545, 0.25901066995480904, 0.6456434394309272]",2.3547959937708747,1.0956103707747777,0.7674097780704423,0.4609984387518961,2.1137601671380923,0.6985264828967123,2.0392239093780518,0.5555998963221017,0.4944578558206558,0.004559237509965897,0.017583383712917566,1.298085635900497,223.02632732622274,0.8872035208423281,8.783828181129769,169571526.4732297,2189.3037496496313,smd,Selected-machine calibrated MDN-LSTM reference without persistence filtering,1202,1.0,[[18895]],0.0,0
runs\smd_persistence_gpu\smd-mdn-persist-w3-c2-gpu,smd-mdn-persist-w3-c2-gpu,smd-mdn,9,14.666666666666666,12.0,19,1.7894089358608734,2,3,0.17608041227211726,0.3893078350221208,0.11376841970198114,92.26705062695535,0.2148782791047616,0.8130075397859473,0.19451037218920333,0.71976605296835,validation_quantile_99,0.0,0.0,0.0,8.6744467689217,3,"[0.09534589061426545, 0.25901066995480904, 0.6456434394309272]",2.3547959937708747,1.0956103707747777,0.7674097780704423,0.4609984387518961,2.1137601671380923,0.6985264828967123,2.0392239093780518,0.5555998963221017,0.4944578558206558,0.004559237509965897,0.017583383712917566,1.298085635900497,223.02632732622274,0.8872035208423281,8.783828181129769,169571526.4732297,2189.3037496496313,smd,Selected-machine calibrated MDN-LSTM with 2-of-3 persistence filtering,1202,1.0,[[18895]],0.0,0
runs\smd_persistence_gpu\smd-mdn-persist-w5-c2-gpu,smd-mdn-persist-w5-c2-gpu,smd-mdn,10,8.3,6.5,18,1.6216518481239166,2,5,0.2181048279448385,0.4509737689392151,0.143833596312922,92.26705062695535,0.2148782791047616,0.8130075397859473,0.19451037218920333,0.71976605296835,validation_quantile_99,0.0,0.0,0.0,8.6744467689217,3,"[0.09534589061426545, 0.25901066995480904, 0.6456434394309272]",2.3547959937708747,1.0956103707747777,0.7674097780704423,0.4609984387518961,2.1137601671380923,0.6985264828967123,2.0392239093780518,0.5555998963221017,0.4944578558206558,0.004559237509965897,0.017583383712917566,1.298085635900497,223.02632732622274,0.8872035208423281,8.783828181129769,169571526.4732297,2189.3037496496313,smd,Selected-machine calibrated MDN-LSTM with 2-of-5 persistence filtering,1202,1.0,[[18895]],0.0,0
runs\smd_persistence_gpu\smd-mdn-persist-w5-c3-gpu,smd-mdn-persist-w5-c3-gpu,smd-mdn,8,22.25,13.5,20,1.2302186434043505,3,5,0.16606663842498082,0.3564772243926942,0.10824701741102852,92.26705062695535,0.2148782791047616,0.8130075397859473,0.19451037218920333,0.71976605296835,validation_quantile_99,0.0,0.0,0.0,8.6744467689217,3,"[0.09534589061426545, 0.25901066995480904, 0.6456434394309272]",2.3547959937708747,1.0956103707747777,0.7674097780704423,0.4609984387518961,2.1137601671380923,0.6985264828967123,2.0392239093780518,0.5555998963221017,0.4944578558206558,0.004559237509965897,0.017583383712917566,1.298085635900497,223.02632732622274,0.8872035208423281,8.783828181129769,169571526.4732297,2189.3037496496313,smd,Selected-machine calibrated MDN-LSTM with 3-of-5 persistence filtering,1202,1.0,[[18895]],0.0,0
