run_dir,manifest.run_id,manifest.pipeline,anomaly.detection_delay.detected,anomaly.detection_delay.mean,anomaly.detection_delay.median,anomaly.detection_delay.missed,anomaly.false_alarm_rate_per_1000,anomaly.persistence_count,anomaly.persistence_window,anomaly.test.f1,anomaly.test.precision,anomaly.test.recall,anomaly.threshold,anomaly.threshold_free.average_precision,anomaly.threshold_free.roc_auc,anomaly.threshold_free.vus_pr,anomaly.threshold_free.vus_roc,anomaly.threshold_strategy,anomaly.validation.f1,anomaly.validation.precision,anomaly.validation.recall,forecast,manifest.dataset,manifest.notes,manifest.seed,regime
runs\smd_joint_full_rescore_threshold_gpu\smd-joint-full-rescore-validation-quantile-99-w5-c2,smd-joint-full-rescore-validation-quantile-99-w5-c2,smd-joint,147,6.442176870748299,1.0,163,2.5614481351119522,2,5,0.24085119601420474,0.18219665965157086,0.3552009809985468,12.494368279676921,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_99,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_99, 2-of-5 persistence",402,
runs\smd_joint_full_rescore_threshold_gpu\smd-joint-full-rescore-validation-quantile-993-w5-c2,smd-joint-full-rescore-validation-quantile-993-w5-c2,smd-joint,134,5.8059701492537314,1.0,176,1.863409151409388,2,5,0.2627654423635136,0.22269924510033082,0.3204111542013392,14.990809096561325,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_993,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_993, 2-of-5 persistence",402,
runs\smd_joint_full_rescore_threshold_gpu\smd-joint-full-rescore-validation-quantile-995-w5-c2,smd-joint-full-rescore-validation-quantile-995-w5-c2,smd-joint,122,6.5,1.0,188,1.946227335916472,2,5,0.2485190966428478,0.21507260759455146,0.2942839420884694,20.427505345845027,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_995,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_995, 2-of-5 persistence",402,
runs\smd_joint_full_rescore_threshold_gpu\smd-joint-full-rescore-validation-quantile-997-w5-c2,smd-joint-full-rescore-validation-quantile-997-w5-c2,smd-joint,115,7.71304347826087,1.0,195,1.863409151409388,2,5,0.22945979059954555,0.2044108624825362,0.2615051731429707,29.748378797120107,0.09684635247050262,0.7005019972642007,0.17822055427510963,0.709679021577481,validation_quantile_997,0.0,0.0,0.0,,smd,"Anomaly-only rescore of runs\smd_joint_full_persistence_gpu\smd-joint-full-persist-w5-c2-gpu with validation_quantile_997, 2-of-5 persistence",402,
